data,ticker,preco_fechamento_ajustado,volume_negociado,ebit_ev
2016-12-31,AALR3,14.45,5375545.0,0.08785338169789551
2017-01-31,AALR3,13.75,3116406.0,0.051572215851074625
2017-02-28,AALR3,12.56,3077805.0,0.05518256029300946
2017-03-31,AALR3,15.41,3141709.0,0.04781096726983174
2017-04-30,AALR3,18.32,6444929.0,0.04117836136733886
2017-05-31,AALR3,17.49,14932008.0,0.041687567401980326
2017-06-30,AALR3,17.3,6391038.0,0.04106026939287761
2017-07-31,AALR3,16.81,1603211.0,0.042032698367593435
2017-08-31,AALR3,16.17,2219898.0,0.046321940262295545
2017-09-30,AALR3,16.8,4550730.0,0.044897552296860016
2017-10-31,AALR3,16.12,7850458.0,0.04643703622548659
2017-11-30,AALR3,14.89,4319884.0,0.05185076627134257
2017-12-31,AALR3,14.6,13436527.0,0.052681914789959615
2018-01-31,AALR3,14.73,6017472.0,0.052290754162680086
2018-02-28,AALR3,15.25,2569919.0,0.05088736267571331
2018-03-31,AALR3,15.88,3397718.0,0.029159350666411076
2018-04-30,AALR3,14.31,381066.0,0.03162530005299824
2018-05-31,AALR3,13.12,4160474.0,0.03625707119331885
2018-06-30,AALR3,12.9,6552207.0,0.03670424281355757
2018-07-31,AALR3,13.01,1916864.0,0.03647928667136107
2018-08-31,AALR3,12.5,6691533.0,0.03637715634891778
2018-09-30,AALR3,11.52,1327748.0,0.038609762348157495
2018-10-31,AALR3,11.81,2971911.0,0.03791172581532366
2018-11-30,AALR3,12.89,3811221.0,0.03442607685273411
2018-12-31,AALR3,13.13,3042992.0,0.033970671626182815
2019-01-31,AALR3,15.48,3073351.0,0.030016486575631555
2019-02-28,AALR3,15.58,1753188.0,0.02987100606368271
2019-03-31,AALR3,14.32,3036178.0,0.06101714744779681
2019-04-30,AALR3,14.87,2569789.0,0.05954574123008505
2019-05-31,AALR3,13.9,1586619.0,0.06417865380135082
2019-06-30,AALR3,14.3,10832812.0,0.06282885441526063
2019-07-31,AALR3,14.67,2810704.0,0.06162987524088178
2019-08-31,AALR3,18.99,4488459.0,0.05287075177663521
2019-09-30,AALR3,19.09,2138376.0,0.05264861432886188
2019-10-31,AALR3,17.95,2187648.0,0.05532161434405476
2019-11-30,AALR3,18.54,3491698.0,0.05543925966077788
2019-12-31,AALR3,18.01,6683463.0,0.05672989276674518
2020-01-31,AALR3,20.85,10443252.0,0.05039857900510776
